Euro Investment Grade Bond Index Fund

Date,NAV
"""17/02/2016""","""193.5706"""
"""16/02/2016""","""193.5066"""
"""15/02/2016""","""193.6041"""
"""12/02/2016""","""193.2866"""
"""11/02/2016""","""193.7976"""
"""10/02/2016""","""193.6278"""
"""09/02/2016""","""193.6670"""
"""08/02/2016""","""193.9313"""
"""05/02/2016""","""193.7242"""
"""04/02/2016""","""193.7375"""
"""03/02/2016""","""193.9860"""
"""02/02/2016""","""193.8218"""
"""01/02/2016""","""193.7278"""
"""29/01/2016""","""193.7911"""
"""28/01/2016""","""193.2258"""
"""27/01/2016""","""192.8849"""
"""26/01/2016""","""192.8031"""
"""25/01/2016""","""192.6343"""
"""22/01/2016""","""192.5486"""
"""21/01/2016""","""192.4156"""
"""20/01/2016""","""192.1610"""
"""19/01/2016""","""192.0329"""
"""18/01/2016""","""192.0770"""
"""15/01/2016""","""192.3519"""
"""14/01/2016""","""192.3018"""
"""13/01/2016""","""192.6206"""
"""12/01/2016""","""192.5270"""
"""11/01/2016""","""192.6365"""
"""08/01/2016""","""192.8152"""
"""07/01/2016""","""192.6321"""
"""06/01/2016""","""193.0311"""
"""05/01/2016""","""192.8391"""
"""04/01/2016""","""192.6297"""
"""31/12/2015""","""192.2729"""
"""30/12/2015""","""192.2609"""
"""29/12/2015""","""192.2418"""
"""28/12/2015""","""192.2057"""
"""24/12/2015""","""192.1680"""
"""23/12/2015""","""192.1557"""
"""22/12/2015""","""192.3909"""
"""21/12/2015""","""192.7923"""
"""18/12/2015""","""192.8202"""
"""17/12/2015""","""192.5349"""
"""16/12/2015""","""192.1212"""
"""15/12/2015""","""192.2223"""
"""14/12/2015""","""192.7444"""
"""11/12/2015""","""193.0544"""
"""10/12/2015""","""192.9380"""
"""09/12/2015""","""192.7713"""
"""08/12/2015""","""193.0104"""
"""07/12/2015""","""192.9734"""
"""04/12/2015""","""192.3322"""
"""03/12/2015""","""192.6116"""
"""02/12/2015""","""194.0260"""
"""01/12/2015""","""193.9713"""
"""30/11/2015""","""193.8195"""
"""27/11/2015""","""193.9488"""
"""26/11/2015""","""193.8061"""
"""25/11/2015""","""193.7905"""
"""24/11/2015""","""193.6044"""
"""23/11/2015""","""193.5045"""
"""20/11/2015""","""193.6928"""
"""19/11/2015""","""193.5365"""
"""18/11/2015""","""193.3158"""
"""17/11/2015""","""193.1624"""
"""16/11/2015""","""193.0438"""
"""13/11/2015""","""192.9233"""
"""12/11/2015""","""192.6789"""
"""11/11/2015""","""192.7477"""
"""10/11/2015""","""192.6149"""
"""09/11/2015""","""192.3628"""
"""06/11/2015""","""192.1181"""
"""05/11/2015""","""192.6231"""
"""04/11/2015""","""192.6241"""
"""03/11/2015""","""192.6462"""
"""02/11/2015""","""192.5542"""
"""30/10/2015""","""192.7512"""
"""29/10/2015""","""192.7105"""
"""28/10/2015""","""193.3230"""
"""27/10/2015""","""193.2432"""
"""26/10/2015""","""192.8614"""
"""23/10/2015""","""192.6453"""
"""22/10/2015""","""192.4600"""
"""21/10/2015""","""191.8944"""
"""20/10/2015""","""191.5623"""
"""19/10/2015""","""191.9544"""
"""16/10/2015""","""191.9980"""
"""15/10/2015""","""191.8838"""
"""14/10/2015""","""191.9998"""
"""13/10/2015""","""191.7193"""
"""12/10/2015""","""191.8793"""
"""09/10/2015""","""191.5358"""
"""08/10/2015""","""191.5560"""
"""07/10/2015""","""191.4662"""
"""06/10/2015""","""191.2731"""
"""05/10/2015""","""191.3003"""
"""02/10/2015""","""191.4766"""
"""01/10/2015""","""191.2577"""
"""30/09/2015""","""190.9491"""
"""29/09/2015""","""190.8197"""
"""28/09/2015""","""191.1184"""
"""25/09/2015""","""191.1483"""
"""24/09/2015""","""191.5577"""
"""23/09/2015""","""191.6771"""
"""22/09/2015""","""191.8721"""
"""21/09/2015""","""191.5756"""
"""18/09/2015""","""191.7485"""
"""17/09/2015""","""191.0971"""
"""16/09/2015""","""191.2157"""
"""15/09/2015""","""191.4009"""
"""14/09/2015""","""192.0521"""
"""11/09/2015""","""192.1493"""
"""10/09/2015""","""192.0152"""
"""09/09/2015""","""192.0201"""
"""08/09/2015""","""192.1390"""
